date,price,link
09:10:2022,520,https://www.facebook.com/marketplace/item/809252010519160/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
